Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Date,Time,Payment,gross profit,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,01-05-2019,13:08,Ewallet,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,02-05-2019,10:29,Cash,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,03-05-2019,13:23,Credit card,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,04-05-2019,20:33,Ewallet,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,05-05-2019,10:37,Ewallet,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,,Electronic accessories,85.39,,06-05-2019,18:30,Ewallet,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,07-05-2019,14:36,Ewallet,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,08-05-2019,11:38,Ewallet,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,09-05-2019,17:15,Credit card,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,10-05-2019,13:27,Credit card,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,11-05-2019,18:07,Ewallet,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,12-05-2019,17:03,Cash,5.102,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,13-05-2019,10:25,Ewallet,11.7375,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,14-05-2019,16:48,Ewallet,21.595,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,,10,15-05-2019,19:21,Cash,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,16-05-2019,16:19,Cash,28.116,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,17-05-2019,11:03,Credit card,24.1255,4.6
765-26-6951,A,Yangon,Normal,,Sports and travel,72.61,6,18-05-2019,10:39,Credit card,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,19-05-2019,18:00,Credit card,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,20-05-2019,15:30,Ewallet,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21-05-2019,11:24,Ewallet,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,22-05-2019,10:40,Ewallet,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,23-05-2019,12:20,Credit card,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,24-05-2019,11:15,Ewallet,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,25-05-2019,17:36,Ewallet,13.2945,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,26-05-2019,19:20,Credit card,21.036,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,27-05-2019,15:31,Cash,1.676,6.7
189-17-4241,A,Yangon,Normal,,Fashion accessories,87.67,2,28-05-2019,12:17,Credit card,8.767,7.7
